id,order_date,customer_id,status,serial_number,address,notes,delivery_date,employee_id,created_at,updated_at,coupon_id,delivery_fee,payment_method,payment_note,invoice_id,invoice_no,local_id,delivery_code,seller_id,commission_rate
41,2023-12-25 11:13:43,5,canceled,202300050001,,,,5.0,2023-12-25 08:13:43,2023-12-28 10:22:57,,0.0,CASH,,,,,,,
42,2023-12-28 09:39:55,16,canceled,202300160001,,,2023-12-28 08:00:00,2.0,2023-12-28 06:39:55,2023-12-28 06:40:20,,0.0,CASH,,,,,,,
45,2023-12-28 12:39:18,5,waiting,202300050002,,,,5.0,2023-12-28 09:39:18,2023-12-28 09:39:18,,0.0,CASH,,,,,,,
46,2023-12-28 13:02:14,1,storekeeper_received,202300010001,,,,1.0,2023-12-28 10:02:14,2024-08-11 03:30:18,,0.0,CASH,,,,,,,
47,2023-12-28 13:14:47,5,done,202300050003,,,,2.0,2023-12-28 10:14:47,2023-12-28 10:20:48,,0.0,CASH,,,,,,,
48,2023-12-28 18:40:28,5,done,202300050004,,,,2.0,2023-12-28 15:40:28,2023-12-29 18:24:40,,0.0,CASH,,,,,,,
49,2023-12-29 14:21:40,15,preparing,202300150001,,,,2.0,2023-12-29 11:21:40,2023-12-29 11:23:31,,0.0,CASH,,,,,,,
53,2023-12-30 08:41:11,5,done,202300050005,,,,2.0,2023-12-30 05:41:11,2023-12-30 06:14:20,,0.0,CASH,,,,,,,
54,2023-12-30 15:22:16,5,canceled,202300050006,,,,5.0,2023-12-30 12:22:16,2024-01-07 14:29:48,,0.0,CASH,,,,,,,
55,2023-12-30 17:21:10,19,preparing,202300190001,,,,2.0,2023-12-30 14:21:10,2023-12-30 14:46:14,,0.0,CASH,,,,,,,
56,2024-01-02 02:11:41,5,canceled,202400050007,,,,5.0,2024-01-01 23:11:41,2024-01-07 14:29:42,,0.0,CASH,,,,,,,
57,2024-01-02 02:12:45,5,done,202400050008,,,,2.0,2024-01-01 23:12:45,2024-01-12 18:19:31,,0.0,CASH,,,,,,,
64,2024-01-16 23:46:59,22,done,202400220001,,,,2.0,2024-01-16 20:46:59,2024-01-18 17:48:08,,0.0,CASH,,,,,,,
65,2024-01-17 20:54:55,19,done,202400190002,,,,2.0,2024-01-17 17:54:55,2024-01-18 17:47:54,,0.0,CASH,,,,,,,
66,2024-01-18 21:33:19,24,waiting,202400240001,,,2024-01-20 17:00:00,,2024-01-18 18:33:19,2024-01-18 18:33:19,,0.0,CASH,,,,,,,
67,2024-01-19 06:44:03,5,canceled,202400050009,,,,5.0,2024-01-19 03:44:03,2024-01-19 03:51:04,,0.0,CASH,,,,,,,
68,2024-01-19 06:49:39,5,canceled,202400050010,,,,5.0,2024-01-19 03:49:39,2024-01-19 03:51:00,,0.0,CASH,,,,,,,
69,2024-01-19 06:51:31,5,waiting,202400050011,,,,5.0,2024-01-19 03:51:31,2024-01-19 03:51:31,,0.0,CASH,,,,,,,
70,2024-01-20 11:38:46,5,waiting,202400050012,,,,5.0,2024-01-20 08:38:46,2024-01-20 08:38:46,,0.0,CASH,,,,,,,
71,2024-01-20 21:26:29,26,waiting,202400260001,,,,,2024-01-20 18:26:29,2024-01-20 18:26:29,,0.0,CASH,,,,,,,
72,2024-01-21 10:55:40,27,preparing,202400270001,,,2024-01-21 17:00:00,2.0,2024-01-21 07:55:40,2024-01-21 14:14:00,,0.0,CASH,,,,,,,
73,2024-01-21 17:40:38,5,canceled,202400050013,,,,5.0,2024-01-21 14:40:38,2024-04-02 07:04:15,,0.0,CASH,,,,,,,
74,2024-01-22 09:57:57,16,done,202400160002,,,,2.0,2024-01-22 06:57:57,2024-02-03 18:01:29,,0.0,CASH,,,,,,,
75,2024-01-22 21:11:17,29,preparing,202400290001,,,,2.0,2024-01-22 18:11:17,2024-01-22 18:11:25,,0.0,CASH,,,,,,,
76,2024-01-23 21:12:22,34,canceled,202400340001,,,,2.0,2024-01-23 18:12:22,2024-01-28 15:30:58,,0.0,CASH,,,,,,,
77,2024-01-26 21:50:09,22,canceled,202400220002,,,,22.0,2024-01-26 18:50:09,2024-01-28 17:24:41,,0.0,CASH,,,,,,,
78,2024-01-31 10:43:28,43,preparing,202400430001,,,,2.0,2024-01-31 07:43:28,2024-01-31 07:49:43,,0.0,CASH,,,,,,,
79,2024-02-01 11:58:45,19,preparing,202400190003,,,,2.0,2024-02-01 08:58:45,2024-02-01 21:21:53,,0.0,CASH,,,,,,,
80,2024-02-04 17:40:23,27,waiting,202400270002,,,2024-02-04 19:00:00,,2024-02-04 14:40:23,2024-02-04 14:40:23,,0.0,CASH,,,,,,,
81,2024-02-05 00:11:25,45,done,202400450001,,,2024-02-05 17:00:00,2.0,2024-02-04 21:11:25,2024-02-05 18:57:24,,0.0,CASH,,,,,,,
82,2024-02-07 02:50:29,22,preparing,202400220003,,,,2.0,2024-02-06 23:50:29,2024-02-07 03:55:54,,0.0,CASH,,,,,,,
83,2024-02-07 10:12:40,46,waiting,202400460001,,,2024-02-07 19:00:00,,2024-02-07 07:12:40,2024-02-07 07:12:40,,0.0,CASH,,,,,,,
84,2024-02-08 12:18:09,27,preparing,202400270003,,,2024-02-08 18:00:00,2.0,2024-02-08 09:18:09,2024-02-08 10:55:33,,0.0,CASH,,,,,,,
85,2024-02-08 14:29:30,47,preparing,202400470001,,,,2.0,2024-02-08 11:29:30,2024-02-08 11:36:04,,0.0,CASH,,,,,,,
86,2024-02-08 17:03:51,32,preparing,202400320001,,,,2.0,2024-02-08 14:03:51,2024-02-09 10:07:39,,0.0,CASH,,,,,,,
87,2024-02-09 17:49:07,48,preparing,202400480001,,,,2.0,2024-02-09 14:49:07,2024-02-09 14:49:25,,0.0,CASH,,,,,,,
88,2024-02-12 10:45:31,51,canceled,202400510001,,,,51.0,2024-02-12 07:45:31,2024-02-16 19:10:49,,0.0,CASH,,,,,,,
89,2024-02-13 18:20:01,52,done,202400520001,,,,2.0,2024-02-13 15:20:01,2024-02-13 17:03:54,,0.0,CASH,,,,,,,
90,2024-02-13 21:18:04,53,preparing,202400530001,,,,2.0,2024-02-13 18:18:04,2024-02-13 19:57:54,,0.0,CASH,,,,,,,
91,2024-02-14 02:02:16,54,preparing,202400540001,,,,2.0,2024-02-13 23:02:16,2024-02-14 10:57:47,,0.0,CASH,,,,,,,
